ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20210309203356NAL0006089521001,2019-06-01,2020-05-31,003,043053085,1960607,,1960607,2422077,,2422077,,,,,461470,461470,,,,,,0,461470,,2,,2,,2,,1,2421926,2,,2,,2,,2,,2,,2,,2,,1,300000,2,,2,,2,,1,2421926,2,1,2,,2,,2,,,,,,,,,,,,,
20200728104037NAL0004229987001,2019-01-01,2019-12-31,001,204270900,1614005,1557693,56312,1787533,1539130,248403,92849,,,,178619,271468,5091,,,,74286,79377,192091,,2,,2,,2,,1,1786000,2,,2,,2,,2,,2,,2,,2,,1,250000,2,,2,,2,,1,1786000,2,1,2,,2,,2,,,,,,,,,,,,,
20200406124823NAL0005631363001,2019-01-01,2019-12-31,003,042837729,11102157,2677711,8424446,12354078,2441694,9912384,543514,0,0,0,1251476,1794990,186525,0,0,0,120527,307052,1487938,0,2,,2,,2,,1,12351524,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,12351524,2,1,2,,2,,2,0,,,,,,,,,,,,
20210414203831NAL0005892915001,2019-07-01,2020-06-30,004,042279997,5845328,2500000,3345328,7009585,2321430,4688155,310371,,,,1104393,1414764,71937,,,,,71937,1342827,,2,,2,,2,,1,6606198,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6606198,2,1,2,,2,,2,,,,,,,,,,,,,
20210609105022NAL0006616928001,2019-09-01,2020-08-31,003,043247749,11800000,0,11800000,11799732,0,11799732,482088,0,0,0,-268,481820,278092,0,0,0,0,278092,203728,-203996,2,,2,,2,,1,11000000,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,11000000,2,1,2,,2,,2,0,,,,,,,,,,,,
20200804160308NAL0016447056001,2019-01-01,2019-12-31,002,042501424,1920000,1222274,697726,3600000,1161156,2438844,111350,,,,1680000,1791350,14786,,,,35446,50232,1741118,,2,,2,,2,,1,3600000,2,,2,,2,,2,,2,,2,,2,,1,360000,2,,2,,2,,1,3600000,2,1,2,,2,,2,,,,,,,,,,,,,
20200519155152NAL0001653713001,2019-01-01,2019-12-31,002,042044378,13915986,1313765,12602221,16360674,579603,15781071,154473,,,,3727027,3881500,653087,,,,49563,702650,3178850,,2,,2,,2,,1,12332885,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,12332885,2,1,2,,2,,2,,,,,,,,,,,,,
20200421084647NAL0001651745001,2019-01-01,2019-12-31,002,042774191,5976755,2354527,3622228,6394473,2064407,4330066,405492,0,0,0,685462,1090954,267744,0,0,0,115372,383116,707838,0,2,,2,,2,,1,6393208,2,,2,,2,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,6393208,2,1,2,,2,,2,0,,,,,,,,,,,,
20200714124153NAL0009141187001,2019-01-01,2019-12-31,002,042943867,5065988,1887809,3178179,6622398,1700996,4921402,248187,,,,1556410,1804597,,,,,61374,61374,1743223,,2,,2,,2,,1,6311709,2,,2,,2,,2,,2,,2,,2,,1,506599,2,,2,,2,,1,6311709,2,1,2,,2,,2,,,,,,,,,,,,,
20200616054002NAL0002999042001,2019-01-01,2019-12-31,001,042444641,4447595,,4447595,5654862,,5654862,425000,,,,875133,1300133,92866,,,,,92866,1207267,,2,,2,,2,,1,5648896,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,5648896,2,1,2,,2,,2,,,,,,,,,,,,,
