filing_year,ein,plan_num,plan_name,sponsor_name,sponsor_city,sponsor_state,sponsor_zip,type_plan_entity,type_pension_bnft,is_esop,is_ksop,total_participants,active_participants,total_assets,total_liabilities,employer_contributions,participant_contributions,benefits_paid,net_income,employer_securities,naics_code,industry_sector,plan_eff_date
2014,42597651,1,"INTERNATIONAL DATA GROUP, INC. EMPLOYEE STOCK OWNERSHIP PLAN","International Data Group, Inc.",Framingham,MA,17014674,2,,1,0,1477,1062,42819748.0,70858.0,0.0,0.0,3676082.0,-9297899.0,42655596.0,511190,Information & Technology,1976-01-01
2014,42624147,5,"ELECTRO-TERM, INC. EMPLOYEE STOCK OWNERSHIP PLAN (ESOP)","Electro-Term, Inc.",Springfield,MA,1118,2,,1,0,62,31,1167304.0,,,,2696.0,-2696.0,,423600,Wholesale Trade,2008-01-01
2014,42631963,3,"NEW ENGLAND BIOLABS, INC EMPLOYEE STOCK OWNERSHIP PLAN","New England Biolabs, Inc",Ipswich,MA,1938,2,,1,0,338,309,201093616.0,839693.0,3906000.0,0.0,1939836.0,31401528.0,85626660.0,325100,Manufacturing,1985-10-01
2014,42637381,2,"QUIRK WIRE CO., INC. EMPLOYEE STOCK OWNERSHIP PLAN","Quirk Wire Co., Inc.",West Brookfield,MA,1585,2,,1,0,55,39,10420295.0,769027.0,689842.0,,512252.0,-1340486.0,,332610,Manufacturing,2003-01-01
2014,42699206,3,"PACKAGING CONSULTANTS, INC. EMPLOYEE STOCK OWNERSHIP PLAN & TRUST","Packaging Consultants, Inc.",New Bedford,MA,27451118,2,,1,0,12,10,202315.0,0.0,0.0,0.0,58974.0,-42584.0,,424990,Wholesale Trade,1990-02-01
2014,42717456,2,ATLANTIC FASTENERS EMPLOYEE STOCK OWNERSHIP PLAN,Atlantic Fasteners,Agawam,MA,10011068,2,,1,0,57,44,12054167.0,685452.0,410353.0,,213048.0,672782.0,,,,2005-01-01
2014,42718570,3,"SPECTRAL SCIENCES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Spectral Sciences, Inc.",Burlington,MA,18033304,2,,1,0,55,40,4685748.0,275906.0,429661.0,,310900.0,-113097.0,,541700,Professional & Technical Services,1993-01-01
2014,42745179,3,"SYMMES MAINI & MCKEE ASSOCIATES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Symmes Maini & Mckee Associates, Inc.",Cambridge,MA,2138,2,,1,0,169,135,5226454.0,926425.0,304474.0,,265763.0,502627.0,5226354.0,541330,Professional & Technical Services,1988-01-01
2014,42745661,2,LESSARD TAYLOR COMMUNICATIONS INC EMPLOYEE STOCK OWNERSHIP PLAN,Lessard Taylor Communications Inc,Boston,MA,2210,2,,1,0,19,17,1312955.0,,,,101.0,-1076868.0,,541990,Professional & Technical Services,1998-11-01
2014,42746512,2,"MULLEN ADVERTISING, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Mullen Advertising, Inc.",Boston,MA,21094308,2,,1,0,535,380,4036302.0,0.0,,,689597.0,-291387.0,1686651.0,,,1983-09-01
2014,42759985,2,SHAWMUT DESIGN AND CONSTRUCTION EMPLOYEE STOCK OWNERSHIP PLAN,Shawmut Design And Construction,Boston,MA,21182436,2,,1,0,1127,624,148597225.0,35345868.0,7548491.0,0.0,3753540.0,22726740.0,141801497.0,,,1997-12-01
2014,42772059,2,"BARCLAY WATER TREATMENT CO., INC. EMPLOYEE STOCK OWNERSHIP PLAN","Barclay Water Treatment Co., Inc.",Newton,MA,2458,2,,1,0,117,103,2813994.0,47984.0,200000.0,,24177.0,544480.0,,325900,Manufacturing,2009-10-01
2014,42774191,2,LAMPIN CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Lampin Corporation,Uxbridge,MA,1569,2,,1,0,42,29,6308701.0,3385289.0,377892.0,,93996.0,681703.0,,333510,Manufacturing,2001-01-01
2014,42777442,3,CAMBRIDGE BANCORP EMPLOYEE STOCK OWNERSHIP PLAN,Cambridge Bancorp,Cambridge,MA,21383842,2,,1,0,276,202,16010088.0,383.0,355397.0,0.0,441850.0,2134886.0,15000991.0,522110,Finance & Insurance,1986-01-01
2014,42793755,4,THE CADMUS GROUP EMPLOYEE STOCK OWNERSHIP PLAN,The Cadmus Group,Waltham,MA,24518727,2,,1,0,467,271,23801009.0,7535043.0,1103084.0,0.0,741226.0,1150101.0,23801009.0,,,2002-05-01
2014,42804642,2,"REX CUT PRODUCTS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Rex Cut Products, Inc.",Fall River,MA,2722,2,,1,0,64,54,2280109.0,2186667.0,390728.0,,11123.0,624728.0,,339900,Manufacturing,2008-01-01
2014,42821431,2,"TIGHE & BOND, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Tighe & Bond, Inc.",Westfield,MA,10855308,2,,1,0,253,237,9529090.0,0.0,930000.0,0.0,857007.0,1017328.0,8748450.0,541330,Professional & Technical Services,1997-10-01
2014,42837729,3,"NELCO PRODUCTS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Nelco Products, Inc.",Pembroke,MA,23591937,2,,1,0,44,32,6210635.0,3524429.0,491727.0,0.0,238056.0,245151.0,,423600,Wholesale Trade,2004-08-01
2014,42880295,2,"WEB INDUSTRIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Web Industries, Inc.",Marlboro,MA,1752,2,,1,0,457,319,75904780.0,0.0,1682600.0,0.0,3185098.0,26722178.0,75187170.0,322200,Manufacturing,1984-10-01
2014,42883090,3,"WORLD PUBLICATIONS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","World Publications, Inc.",East Bridgewater,MA,2333,2,,1,0,78,0,0.0,0.0,,,29045.0,-342369.0,,,,2000-01-01
2014,42887710,2,"PRELLWITZ / CHILINSKI ASSOCIATES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Prellwitz / Chilinski Associates, Inc.",Cambridge,MA,21391306,2,,1,0,61,43,2564789.0,2557646.0,219116.0,,21910.0,-1254912.0,,541310,Professional & Technical Services,2006-01-01
2014,42895731,2,"WORCESTER MANUFACTURING, INC. ESOP","Worcester Manufacturing, Inc.",Worcester,MA,1605,2,,1,0,42,43,3116000.0,2179869.0,106335.0,0.0,0.0,306398.0,,339900,Manufacturing,2012-01-01
2014,42925204,2,HARPOON BREWERY EMPLOYEE STOCK OWNERSHIP PLAN,Harpoon Brewery,Boston,MA,22102330,2,,1,0,170,151,35769000.0,55394687.0,1838462.0,,0.0,-19625687.0,34521839.0,312120,Manufacturing,2014-01-01
2014,42932946,2,"DARMANN ABRASIVE PRODUCTS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Darmann Abrasive Products, Inc.",Clinton,MA,15101914,2,,1,0,61,50,3579306.0,1438765.0,149620.0,,61217.0,747965.0,,327900,Manufacturing,1998-10-01
2014,42941854,2,"MIDDLETON & COMPANY, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Middleton & Company, Inc.",Boston,MA,2210,2,,1,0,22,13,3577092.0,121365.0,285000.0,,262987.0,353676.0,,812990,Other Services,2003-01-01
2014,42942412,2,WASHBURN-GARFIELD CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Washburn-Garfield Corporation,Worcester,MA,1605,2,,1,0,19,16,1097080.0,1294327.0,206233.0,,274.0,93756.0,,423700,Wholesale Trade,2007-11-01
2014,42969998,2,INTRAL CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Intral Corporation,Boston,MA,2210,2,,1,0,19,16,261204.0,0.0,,,32157.0,-8980.0,,541990,Professional & Technical Services,1990-06-01
2014,42993095,2,"ENVIRONMENTAL HEALTH & ENGINEERING, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Environmental Health & Engineering, Inc.",Needham,MA,24942725,2,,1,0,90,73,1216478.0,1426210.0,89498.0,0.0,0.0,52803.0,,541990,Professional & Technical Services,2010-01-01
2014,43005476,1,CAPE AIR/NANTUCKET AIRLINES KSOP RETIREMENT PLAN,CAPE AIR/NANTUCKET AIRLINES,Hyannis,MA,026011924,2,2E2F2G2I2J2K2O2T3I,1,1,1125,982,16348304.0,0.0,223945.0,825253.0,875106.0,1782264.0,5229386.0,481000,Transportation & Warehousing,1995-01-01
2014,43035339,2,"APPLIED MARKETING SCIENCE, INC EMPLOYEE STOCK OWNERSHIP PLAN","Applied Marketing Science, Inc",Waltham,MA,2451,2,,1,0,33,26,1856891.0,3779.0,498000.0,,13486.0,535810.0,,541110,Professional & Technical Services,2011-01-01
2014,43050515,2,"ENVIRONMENTAL COMPLIANCE SERVICES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Environmental Compliance Services, Inc.",Agawam,MA,1001,2,,1,0,174,122,1841955.0,108.0,74849.0,,47420.0,600324.0,1765536.0,,,2007-01-01
2014,43053085,3,"SCIENTIFIC SYSTEMS COMPANY, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Scientific Systems Company, Inc.",Woburn,MA,1801,2,,1,0,38,31,1476681.0,1050331.0,240728.0,,57604.0,178441.0,,541600,Professional & Technical Services,2002-06-01
2014,43061714,2,"ISAACSON MILLER, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Isaacson Miller, Inc.",Boston,MA,2210,2,,1,0,172,158,5398255.0,313577.0,1174086.0,,35220.0,1382216.0,3351797.0,561300,Administrative & Waste Services,2007-01-01
2014,43130634,3,"MARKET FORGE INDUSTRIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST","Market Forge Industries, Inc.",Abington,MA,2351,2,,1,0,76,0,0.0,,,,2462495.0,-800000.0,,,,1993-11-01
2014,43130808,3,EAST BOSTON SAVINGS BANK EMPLOYEE STOCK OWNERSHIP PLAN,East Boston Savings Bank,Peabody,MA,1960,2,,1,0,493,411,40434962.0,22226040.0,1347985.0,,128270.0,6591025.0,40434950.0,522120,Finance & Insurance,2008-01-01
